index,player_name,player_team,game_date,events,launch_speed,launch_angle,hit_distance_sc,hit_direction,total_dongs
609,José Iglesias,LAA,2021-04-26,home_run,100.7,31,409,Left-Center,26
707,Tyler O'Neill,STL,2021-04-25,home_run,107.2,33,423,Center,26
908,Sam Haggerty,SEA,2021-04-24,home_run,103,28,406,Left-Center,26
950,Manny Piña,MIL,2021-04-24,home_run,100.4,31,388,Left-Center,26
1048,Willians Astudillo,MIN,2021-04-23,home_run,95.7,28,376,Left,26
1053,Austin Riley,ATL,2021-04-23,home_run,105.7,26,432,Center,26
1260,Seth Brown,OAK,2021-04-21,home_run,98,29,356,Right,26
1311,Darin Ruf,SF,2021-04-21,home_run,108.5,26,423,Center,26
1326,Matt Olson,OAK,2021-04-21,home_run,106.2,39,382,Right-Center,26
79,Cedric Mullins,BAL,2021-04-30,home_run,93.9,34,355,Right,25
147,Teoscar Hernández,TOR,2021-04-30,home_run,108.4,22,427,Center,25
222,Isiah Kiner-Falefa,TEX,2021-04-29,home_run,103,26,423,Center,25
453,Brandon Belt,SF,2021-04-27,home_run,107,25,364,Right,25
535,Nick Solak,TEX,2021-04-27,home_run,105.1,28,422,Center,25
551,Garrett Hampson,COL,2021-04-27,home_run,105.1,29,422,Center,25
677,Jesse Winker,CIN,2021-04-26,home_run,101.9,26,375,Left,25
877,Willi Castro,DET,2021-04-24,home_run,100.4,35,362,Right,25
989,Nick Castellanos,CIN,2021-04-23,home_run,108.1,25,421,Left-Center,25
1038,Javier Báez,CHC,2021-04-23,home_run,103.4,32,413,Left-Center,25
1056,Marcus Semien,TOR,2021-04-23,home_run,102.7,27,413,Left-Center,25
1320,Niko Goodrum,DET,2021-04-21,home_run,105.7,31,394,Left-Center,25
1430,Xander Bogaerts,BOS,2021-04-20,home_run,102.1,28,408,Left-Center,25
365,Jesús Aguilar,MIA,2021-04-28,home_run,98.2,38,367,Left,24
534,Vladimir Guerrero Jr.,TOR,2021-04-27,home_run,103.9,25,375,Right,24
562,Paul Goldschmidt,STL,2021-04-27,double,100.4,29,383,Right-Center,24
812,Pavin Smith,ARI,2021-04-25,triple,99.4,32,404,Right-Center,24
861,Kyle Seager,SEA,2021-04-24,double,106.4,25,425,Right-Center,24
1234,Jorge Soler,KC,2021-04-21,double,109.6,33,393,Left-Center,24
1241,Carlos Santana,KC,2021-04-21,field_out,103.6,35,393,Right-Center,24
1401,Freddy Galvis,BAL,2021-04-20,home_run,104.3,21,369,Right,24
1414,Mitch Moreland,OAK,2021-04-20,home_run,104.9,21,405,Right-Center,24
57,Rafael Devers,BOS,2021-04-30,home_run,105.6,21,390,Left-Center,23
82,Aaron Judge,NYY,2021-04-30,home_run,100,45,357,Right,23
355,Austin Riley,ATL,2021-04-28,home_run,112.2,20,371,Left,23
418,Byron Buxton,MIN,2021-04-27,home_run,96,36,390,Left-Center,23
497,Ryan Zimmerman,WSH,2021-04-27,home_run,100.1,26,363,Right,23
687,Jesse Winker,CIN,2021-04-25,home_run,104.1,31,381,Left-Center,23
1005,Guillermo Heredia,ATL,2021-04-23,double,105.9,21,386,Left,23
1102,J.T. Realmuto,PHI,2021-04-23,triple,96.8,30,366,Right,23
1351,Xander Bogaerts,BOS,2021-04-21,home_run,95.5,28,356,Left,23
75,Dylan Moore,SEA,2021-04-30,home_run,102.9,31,393,Left-Center,22
327,Clint Frazier,NYY,2021-04-28,home_run,101.2,31,389,Left-Center,22
485,Adrian Houser,MIL,2021-04-27,home_run,109,23,418,Right-Center,22
615,Carlos Santana,KC,2021-04-26,home_run,96.4,31,356,Right,22
672,Cedric Mullins,BAL,2021-04-26,home_run,106,25,418,Center,22
686,Yuli Gurriel,HOU,2021-04-25,home_run,99.9,26,394,Left-Center,22
843,Fernando Tatis Jr.,SD,2021-04-24,home_run,105.2,28,414,Left-Center,22
901,Shohei Ohtani,LAA,2021-04-24,home_run,108.3,33,413,Center,22
971,Garrett Hampson,COL,2021-04-24,triple,104.9,25,414,Left-Center,22
1180,Albert Pujols,LAA,2021-04-22,home_run,97.8,32,345,Right,22
1196,Joey Votto,CIN,2021-04-22,home_run,104.1,34,395,Left-Center,22
1211,Kyle Higashioka,NYY,2021-04-22,home_run,105.6,25,420,Center,22
1344,Adolis García,TEX,2021-04-21,home_run,104.5,34,411,Center,22
93,Alex Kirilloff,MIN,2021-04-30,home_run,105.5,29,416,Center,21
345,Fernando Tatis Jr.,SD,2021-04-28,sac_fly,100.6,33,381,Right-Center,21
566,Rhys Hoskins,PHI,2021-04-26,home_run,98.6,36,399,Left-Center,21
646,Brent Rooker,MIN,2021-04-26,home_run,107.7,25,412,Right-Center,21
835,Sheldon Neuse,LAD,2021-04-25,home_run,103.1,33,400,Left-Center,21
955,Jason Heyward,CHC,2021-04-24,home_run,107.5,23,418,Right-Center,21
979,Fernando Tatis Jr.,SD,2021-04-24,home_run,103.7,35,383,Left-Center,21
1049,Eric Sogard,CHC,2021-04-23,field_out,94.7,34,362,Right,21
1379,José Iglesias,LAA,2021-04-21,home_run,104.5,29,417,Center,21
1444,Seth Brown,OAK,2021-04-20,double,99.4,37,368,Right,21
44,Shohei Ohtani,LAA,2021-04-30,home_run,97,34,364,Right,20
