stadium,full_team_name,team,team_abbr,x,y,d_wall,segment,spray_angle_stadia,fence_height,orientation
Citi Field,New York Mets,mets,NYM,147.2917257785998,344.0392561241054,374.24305235670846,outfield_outer,17.4,8,NNE
Citi Field,New York Mets,mets,NYM,161.51162270130953,340.44021598700704,376.809693252297,outfield_outer,19,8,NNE
Citi Field,New York Mets,mets,NYM,175.72771907291659,336.8263555242706,379.91081193660733,outfield_outer,20.7,8,NNE
Citi Field,New York Mets,mets,NYM,187.114684448988,328.39006554984473,377.9575905948651,outfield_outer,22.3,8,NNE
Citi Field,New York Mets,mets,NYM,195.50143540944705,316.3558999493115,371.88958936745325,outfield_outer,23.8,8,NNE
Citi Field,New York Mets,mets,NYM,203.86657893721497,304.3067608116118,366.284297620331,outfield_outer,25.4,8,NNE
Citi Field,New York Mets,mets,NYM,212.2307582139488,292.25690651349623,361.186924094583,outfield_outer,27,8,NNE
Citi Field,New York Mets,mets,NYM,220.53937463099376,280.16878749585413,356.5559777223303,outfield_outer,28.7,8,NNE
Citi Field,New York Mets,mets,NYM,225.01629353174397,266.41136065416936,348.722447571661,outfield_outer,30.1,8,NNE
Citi Field,New York Mets,mets,NYM,229.2968919481884,252.70384324425237,341.22763230359124,outfield_outer,31.7,8,NNE
Citi Field,New York Mets,mets,NYM,237.75944315246616,240.72297684418322,338.3446532589158,outfield_outer,33.5,8,NNE
Nationals Park,Washington Nationals,nationals,WAS,238.4904478471097,246.25250863759123,342.80897264310613,outfield_outer,33.1,8,NNE
Nationals Park,Washington Nationals,nationals,WAS,231.5587477618192,259.1017540831779,347.4955721070434,outfield_outer,31.3,8,NNE
Nationals Park,Washington Nationals,nationals,WAS,224.62052472861785,271.9469546393163,352.7173461384597,outfield_outer,29.7,8,NNE
Nationals Park,Washington Nationals,nationals,WAS,217.69220870717038,284.79776814166325,358.4685013641768,outfield_outer,28,8,NNE
Nationals Park,Washington Nationals,nationals,WAS,210.71211909700085,297.62098566892655,364.6612787846991,outfield_outer,26.5,8,NNE
Nationals Park,Washington Nationals,nationals,WAS,203.71969091878637,310.4372836329357,371.3125631290188,outfield_outer,25,8,NNE
Nationals Park,Washington Nationals,nationals,WAS,192.2989892584988,318.9944740929657,372.4733222281671,outfield_outer,23.3,12,NNE
Nationals Park,Washington Nationals,nationals,WAS,178.92104639611162,324.83861745106543,370.854241220185,outfield_outer,21.6,12,NNE
Nationals Park,Washington Nationals,nationals,WAS,165.64874764381403,330.91821381208223,370.0626593275022,outfield_outer,19.9,12,NNE
Nationals Park,Washington Nationals,nationals,WAS,152.3416270901773,336.9242368650012,369.7646720977358,outfield_outer,18.2,12,NNE
Nationals Park,Washington Nationals,nationals,WAS,139.04059153168083,342.9440832594876,370.0580094203747,outfield_outer,16.6,12,NNE
Nationals Park,Washington Nationals,nationals,WAS,125.73706031714593,348.9583859045133,370.9201577567345,outfield_outer,14.9,12,NNE
Nationals Park,Washington Nationals,nationals,WAS,112.34761468039802,354.76482758117953,372.1291031524936,outfield_outer,13.2,12,NNE
Nationals Park,Washington Nationals,nationals,WAS,99.01011350658308,360.7020542615118,374.04408099188134,outfield_outer,11.5,12,NNE
Nationals Park,Washington Nationals,nationals,WAS,85.69862157900504,366.6969400112661,376.57787979934193,outfield_outer,9.9,12,NNE
Nationals Park,Washington Nationals,nationals,WAS,72.37242520383278,372.6592304132474,379.621745876179,outfield_outer,8.2,12,NNE
Nationals Park,Washington Nationals,nationals,WAS,59.018396369765,378.5601388633116,383.1330706768452,outfield_outer,6.6,12,NNE
Nationals Park,Washington Nationals,nationals,WAS,45.715006961489884,384.5748434131018,387.2824189757403,outfield_outer,5.1,12,NNE
Nationals Park,Washington Nationals,nationals,WAS,32.44344337350866,390.65834397779315,392.00321266209266,outfield_outer,3.6,8,NNE
Nationals Park,Washington Nationals,nationals,WAS,19.115837308032827,396.6190535247538,397.0794490462314,outfield_outer,2.1,8,NNE
Nationals Park,Washington Nationals,nationals,WAS,5.784688433825862,402.5720120971336,402.6135709886232,outfield_outer,0.6,8,NNE
Nationals Park,Washington Nationals,nationals,WAS,-7.573156060086943,408.41995144661325,408.4901583053922,outfield_outer,-0.8,8,NNE
Nationals Park,Washington Nationals,nationals,WAS,-21.16625122167787,405.87022444378647,406.4217628041451,outfield_outer,-2.2,8,NNE
Nationals Park,Washington Nationals,nationals,WAS,-33.986221482810045,398.8840967477549,400.32934677456626,outfield_outer,-3.7,8,NNE
Nationals Park,Washington Nationals,nationals,WAS,-46.778161801779405,391.84686803732114,394.6291479505933,outfield_outer,-5.1,8,NNE
Nationals Park,Washington Nationals,nationals,WAS,-59.5069672980046,384.697331939112,389.27254765533763,outfield_outer,-6.6,8,NNE
Nationals Park,Washington Nationals,nationals,WAS,-72.33060422534824,377.7180523227004,384.5811271475216,outfield_outer,-8.1,8,NNE
Nationals Park,Washington Nationals,nationals,WAS,-85.12854403353901,370.6920583850743,380.3412561884833,outfield_outer,-9.7,8,NNE
Nationals Park,Washington Nationals,nationals,WAS,-98.23395362033823,372.3133107600546,385.05468574346133,outfield_outer,-11.1,8,NNE
Nationals Park,Washington Nationals,nationals,WAS,-111.21520257251218,365.6769499751956,382.2151920403042,outfield_outer,-12.7,8,NNE
Nationals Park,Washington Nationals,nationals,WAS,-124.0154677455691,358.6551359578432,379.4908994812541,outfield_outer,-14.3,8,NNE
Nationals Park,Washington Nationals,nationals,WAS,-136.78974035251557,351.5858870541789,377.2586235480674,outfield_outer,-15.9,8,NNE
Nationals Park,Washington Nationals,nationals,WAS,-149.60836190366697,344.5978837198304,375.67321359884625,outfield_outer,-17.6,8,NNE
Nationals Park,Washington Nationals,nationals,WAS,-162.33664013056799,337.4463386812281,374.4639050939992,outfield_outer,-19.3,8,NNE
Nationals Park,Washington Nationals,nationals,WAS,-175.13792909455915,330.42687930324587,373.97221390580967,outfield_outer,-20.9,8,NNE
Nationals Park,Washington Nationals,nationals,WAS,-187.24395617768542,322.6193535595574,373.0194987078526,outfield_outer,-22.6,8,NNE
Nationals Park,Washington Nationals,nationals,WAS,-197.74423430090116,312.78565729241666,370.050874349864,outfield_outer,-24.2,8,NNE
Nationals Park,Washington Nationals,nationals,WAS,-206.22835613301635,301.004588551783,364.8751803049289,outfield_outer,-25.8,8,NNE
Nationals Park,Washington Nationals,nationals,WAS,-214.03104459790973,288.6651704582264,359.35618637690004,outfield_outer,-27.4,8,NNE
Nationals Park,Washington Nationals,nationals,WAS,-221.70642378596884,276.2456829250085,354.2109762312116,outfield_outer,-29.1,8,NNE
Nationals Park,Washington Nationals,nationals,WAS,-229.4487517196289,263.86827701405946,349.67584600607506,outfield_outer,-30.8,8,NNE
Nationals Park,Washington Nationals,nationals,WAS,-237.09271499374168,251.4295261498214,345.58611390365115,outfield_outer,-32.5,8,NNE
Nationals Park,Washington Nationals,nationals,WAS,-244.8151590139626,239.0398278055343,342.1615135580436,outfield_outer,-34.3,8,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,232.24058568991248,224.3626151968978,322.9152717658067,outfield_outer,34.5,21,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,224.16728928642553,236.51861442122205,325.8711839880272,outfield_outer,32.6,21,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,215.97015794273406,248.59140103231434,329.30349799086315,outfield_outer,30.7,21,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,207.65421792493117,260.58145598671945,333.2010945752931,outfield_outer,28.9,21,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,199.524538920242,272.69998399019477,337.89839138354546,outfield_outer,27.1,21,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,191.42060595170733,284.8357742051504,343.1810989112982,outfield_outer,25.4,21,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,183.2435470296402,296.92248072485955,348.91425463544556,outfield_outer,23.8,21,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,175.07418571014625,309.01429467342876,355.1630679203392,outfield_outer,22.2,7,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,166.88269977106296,321.0909209666564,361.869057823537,outfield_outer,20.6,7,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,158.8211828382608,333.25369659844966,369.1641835480195,outfield_outer,19.1,7,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,150.63635420869412,345.33518734471244,376.75947609541925,outfield_outer,17.7,7,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,142.43049055815646,357.40238021227503,384.7374507661513,outfield_outer,16.3,7,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,132.84131994991984,367.94465973641616,391.19060432809994,outfield_outer,14.9,7,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,118.958794357575,372.21307267060644,390.7604972638636,outfield_outer,13.3,7,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,104.84148091004832,375.9039724555424,390.25060234068724,outfield_outer,11.7,7,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,90.75957326887611,379.7318457349891,390.42742578519005,outfield_outer,10.1,7,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,76.69684008032355,383.6266216139361,391.2183406861555,outfield_outer,8.5,7,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,62.59379462662035,387.3743945559712,392.3989101454855,outfield_outer,6.9,7,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,48.507062708603826,391.1842480126365,394.1802265789449,outfield_outer,5.3,7,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,34.42401070322241,395.0042423231252,396.5014047467698,outfield_outer,3.7,7,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,20.333229758232807,398.7991020912,399.3171221737786,outfield_outer,2.2,7,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,6.259950237820865,402.6581633169851,402.7068207304016,outfield_outer,0.7,7,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,-7.85446242263412,406.36399848291927,406.4398994229954,outfield_outer,-0.8,7,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,-21.93522997324407,410.1925310574435,410.77861050606185,outfield_outer,-2.3,7,NNE
